country_code,country,strategy,period,status,statistically_insufficient,start,end,months,turnover_annualized_std,turnover_annualized_energy,turnover_annualized_delta,turnover_12m_std,turnover_12m_energy,contribution_energy_nominal_pts,active_months,activation_rate,active_phases,mean_run_months,median_run_months,max_run_months,last_activation,last_deactivation,signal_availability
IT,Italie,binary,common,ok,false,2013-09,2026-06,154,0.756713,0.936685,0.179972,0.560889,0.747428,15.273651,81,0.525974,16,5.0625,4,14,2026-01,2026-06,1
IT,Italie,binary,20y,insufficient_history,true,2013-09,2026-06,154,,,,,,,,,,,,,,,
IT,Italie,binary,10y,ok,false,2016-06,2026-06,121,0.859301,1.029834,0.170532,0.560889,0.747428,14.605075,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
IT,Italie,binary,5y,ok,false,2021-06,2026-06,61,0.716325,0.892513,0.176189,0.560889,0.747428,8.49048,35,0.57377,7,5,5,8,2026-01,2026-06,1
JP,Japon,dynamic,common,ok,false,1995-01,2026-06,378,0.294406,0.452392,0.157986,0.347752,0.495076,51.231459,228,0.603175,33,6.909091,5,21,2026-01,2026-06,0.986772
JP,Japon,dynamic,20y,ok,false,2006-06,2026-06,241,0.287591,0.462144,0.174553,0.347752,0.495076,22.261805,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
JP,Japon,dynamic,10y,ok,false,2016-06,2026-06,121,0.25067,0.451908,0.201238,0.347752,0.495076,15.376694,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
JP,Japon,dynamic,5y,ok,false,2021-06,2026-06,61,0.238751,0.427598,0.188848,0.347752,0.495076,8.996689,35,0.57377,7,5,5,8,2026-01,2026-06,1
JP,Japon,binary,common,ok,false,1995-01,2026-06,378,0.531864,0.688284,0.15642,1.076717,1.21439,54.841052,228,0.603175,33,6.909091,5,21,2026-01,2026-06,0.986772
JP,Japon,binary,20y,ok,false,2006-06,2026-06,241,0.459313,0.637536,0.178223,1.076717,1.21439,23.856318,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
JP,Japon,binary,10y,ok,false,2016-06,2026-06,121,0.668078,0.821063,0.152985,1.076717,1.21439,16.067181,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
JP,Japon,binary,5y,ok,false,2021-06,2026-06,61,0.648034,0.793782,0.145747,1.076717,1.21439,9.378079,35,0.57377,7,5,5,8,2026-01,2026-06,1
KR,Corée du Sud,dynamic,common,ok,false,2005-01,2026-06,258,0.354471,0.512888,0.158417,0.511423,0.708975,24.70857,149,0.577519,26,5.730769,5,18,2026-01,2026-06,1
KR,Corée du Sud,dynamic,20y,ok,false,2006-06,2026-06,241,0.355451,0.509325,0.153873,0.511423,0.708975,20.167408,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
KR,Corée du Sud,dynamic,10y,ok,false,2016-06,2026-06,121,0.336027,0.50313,0.167103,0.511423,0.708975,14.071765,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
KR,Corée du Sud,dynamic,5y,ok,false,2021-06,2026-06,61,0.291858,0.45709,0.165232,0.511423,0.708975,8.917737,35,0.57377,7,5,5,8,2026-01,2026-06,1
KR,Corée du Sud,binary,common,ok,false,2005-01,2026-06,258,0.863636,1.009205,0.145569,1.156467,1.283349,25.877819,149,0.577519,26,5.730769,5,18,2026-01,2026-06,1
KR,Corée du Sud,binary,20y,ok,false,2006-06,2026-06,241,0.825339,0.973041,0.147702,1.156467,1.283349,21.246442,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
KR,Corée du Sud,binary,10y,ok,false,2016-06,2026-06,121,0.638542,0.807594,0.169052,1.156467,1.283349,15.068175,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
KR,Corée du Sud,binary,5y,ok,false,2021-06,2026-06,61,0.744336,0.880941,0.136605,1.156467,1.283349,9.747483,35,0.57377,7,5,5,8,2026-01,2026-06,1
MX,Mexique,dynamic,common,ok,false,2007-11,2026-06,224,0.453133,0.61924,0.166108,0.48926,0.73014,18.300134,122,0.544643,23,5.304348,5,14,2026-01,2026-06,1
MX,Mexique,dynamic,20y,insufficient_history,true,2007-11,2026-06,224,,,,,,,,,,,,,,,
MX,Mexique,dynamic,10y,ok,false,2016-06,2026-06,121,0.470434,0.651439,0.181004,0.48926,0.73014,13.055322,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
MX,Mexique,dynamic,5y,ok,false,2021-06,2026-06,61,0.562224,0.725684,0.16346,0.48926,0.73014,6.882773,35,0.57377,7,5,5,8,2026-01,2026-06,1
MX,Mexique,binary,common,ok,false,2007-11,2026-06,224,1.279165,1.411512,0.132347,0.508016,0.764488,18.195479,122,0.544643,23,5.304348,5,14,2026-01,2026-06,1
MX,Mexique,binary,20y,insufficient_history,true,2007-11,2026-06,224,,,,,,,,,,,,,,,
MX,Mexique,binary,10y,ok,false,2016-06,2026-06,121,1.189502,1.338754,0.149251,0.508016,0.764488,13.397954,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
MX,Mexique,binary,5y,ok,false,2021-06,2026-06,61,1.10824,1.272521,0.164282,0.508016,0.764488,7.16283,35,0.57377,7,5,5,8,2026-01,2026-06,1
NO,Norvège,dynamic,common,ok,false,2003-11,2026-06,272,0.373094,0.528414,0.15532,0.428358,0.498293,29.531708,162,0.595588,27,6,5,18,2026-01,2026-06,1
NO,Norvège,dynamic,20y,ok,false,2006-06,2026-06,241,0.360162,0.520432,0.160271,0.428358,0.498293,20.202533,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
NO,Norvège,dynamic,10y,ok,false,2016-06,2026-06,121,0.32036,0.489163,0.168803,0.428358,0.498293,13.931848,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
