country_code,country,strategy,mode,period,status,statistically_insufficient,start,end,months,annualized_std,annualized_energy,annualized_delta,volatility_std,volatility_energy,volatility_delta,sharpe_std,sharpe_energy,sharpe_delta,calmar_std,calmar_energy,calmar_delta,maxDrawdown_std,maxDrawdown_energy,maxDrawdown_delta,currentDrawdown_std,currentDrawdown_energy,currentDrawdown_delta,maxUnderwaterMonths_std,maxUnderwaterMonths_energy,maxUnderwaterMonths_delta,bestYear_std,bestYear_energy,bestYear_delta,worstYear_std,worstYear_energy,worstYear_delta,delta_annualized_net_10bps,delta_annualized_net_25bps,delta_annualized_net_50bps
CA,Canada,binary,real,10y,ok,false,2016-06,2026-06,121,8.824984,9.635581,0.810597,9.136741,8.341487,-0.795254,1.044004,1.240713,0.196709,0.66184,1.05975,0.39791,-13.334006,-9.092313,4.241693,-13.334006,-9.092313,4.241693,26,12,-14,40.742451,35.128958,-5.613494,-4.649158,-2.101573,2.547585,0.776298,0.724849,0.639101
CA,Canada,binary,nominal,5y,ok,false,2021-06,2026-06,61,16.717057,17.585695,0.868638,9.763273,8.592198,-1.171075,1.394448,1.685601,0.291153,1.466263,2.489187,1.022923,-11.40113,-7.064836,4.336294,-11.40113,-7.064836,4.336294,7,7,0,44.060201,38.31438,-5.745822,1.953549,6.2912,4.337651,0.830938,0.774388,0.680138
CA,Canada,binary,real,5y,ok,false,2021-06,2026-06,61,12.548326,13.385939,0.837613,10.072432,8.773033,-1.2994,1.303371,1.591893,0.288522,0.941077,1.472226,0.531149,-13.334006,-9.092313,4.241693,-13.334006,-9.092313,4.241693,12,8,-4,40.742451,35.128958,-5.613494,-1.869999,2.972878,4.842877,0.799913,0.743363,0.649113
CH,Suisse,dynamic,nominal,common,ok,false,2002-05,2026-06,290,5.525682,6.468894,0.943213,6.936345,6.792421,-0.143923,0.762274,0.917288,0.155014,0.527109,0.706029,0.17892,-10.482997,-9.162359,1.320638,-10.482997,-5.911909,4.571087,22,23,1,25.854821,21.067968,-4.786852,-5.134251,-5.660212,-0.525961,0.908893,0.857413,0.771613
CH,Suisse,dynamic,real,common,ok,false,2002-05,2026-06,290,4.961355,5.899523,0.938168,7.093628,6.906148,-0.187479,0.741387,0.897358,0.155972,0.44685,0.62883,0.181981,-11.102963,-9.381739,1.721224,-11.102963,-6.563534,4.53943,26,22,-4,25.77528,20.991453,-4.783827,-7.291795,-5.72347,1.568326,0.903849,0.852369,0.766569
CH,Suisse,dynamic,nominal,20y,ok,false,2006-06,2026-06,241,5.614599,6.285403,0.670804,7.223613,6.997036,-0.226577,0.754947,0.875263,0.120316,0.535591,0.686003,0.150412,-10.482997,-9.162359,1.320638,-10.482997,-5.911909,4.571087,22,23,1,25.854821,21.067968,-4.786852,-5.134251,-5.660212,-0.525961,0.634333,0.579626,0.488448
CH,Suisse,dynamic,real,20y,ok,false,2006-06,2026-06,241,5.131781,5.799518,0.667737,7.369848,7.068632,-0.301216,0.736584,0.862437,0.125853,0.462199,0.618171,0.155972,-11.102963,-9.381739,1.721224,-11.102963,-6.563534,4.53943,26,22,-4,25.77528,20.991453,-4.783827,-7.291795,-5.72347,1.568326,0.631266,0.576559,0.485381
CH,Suisse,dynamic,nominal,10y,ok,false,2016-06,2026-06,121,6.818209,7.685715,0.867507,6.95741,6.393879,-0.563531,1.002794,1.226853,0.22406,0.650406,1.086876,0.43647,-10.482997,-7.071381,3.411616,-10.482997,-5.911909,4.571087,21,22,1,25.854821,21.067968,-4.786852,-4.65849,-0.837854,3.820636,0.828036,0.768831,0.670155
CH,Suisse,dynamic,real,10y,ok,false,2016-06,2026-06,121,5.953509,6.813993,0.860484,7.098329,6.47486,-0.623469,0.974929,1.201702,0.226773,0.536209,0.832978,0.296769,-11.102963,-8.18028,2.922683,-11.102963,-6.563534,4.53943,26,22,-4,25.77528,20.991453,-4.783827,-7.291795,-2.509425,4.782371,0.821014,0.761808,0.663133
CH,Suisse,dynamic,nominal,5y,ok,false,2021-06,2026-06,61,8.358584,9.297123,0.93854,8.062579,7.137539,-0.92504,0.981502,1.2402,0.258698,0.797347,1.314754,0.517407,-10.482997,-7.071381,3.411616,-10.482997,-5.911909,4.571087,21,22,1,25.854821,21.067968,-4.786852,-4.65849,0.25972,4.91821,0.899332,0.840519,0.742499
CH,Suisse,dynamic,real,5y,ok,false,2021-06,2026-06,61,6.879352,7.805079,0.925728,8.219314,7.224277,-0.995037,0.949642,1.208583,0.25894,0.619596,0.954133,0.334537,-11.102963,-8.18028,2.922683,-11.102963,-6.563534,4.53943,26,22,-4,25.77528,20.991453,-4.783827,-7.291795,-2.509425,4.782371,0.886519,0.827707,0.729687
CH,Suisse,binary,nominal,common,ok,false,2002-05,2026-06,290,5.505061,6.46629,0.961229,7.784125,7.626442,-0.157683,0.676605,0.816633,0.140028,0.42437,0.563533,0.139163,-12.972308,-11.474559,1.497749,-12.972308,-8.471763,4.500545,41,22,-19,27.457578,22.178874,-5.278704,-6.197736,-6.545522,-0.347786,0.928793,0.880139,0.799049
CH,Suisse,binary,real,common,ok,false,2002-05,2026-06,290,4.940844,5.896933,0.956089,7.937238,7.749569,-0.187669,0.660004,0.799361,0.139356,0.363966,0.509477,0.145512,-13.575034,-11.574478,2.000557,-13.575034,-9.105659,4.469376,42,25,-17,27.377025,22.101657,-5.275368,-6.260633,-6.608186,-0.347553,0.923653,0.874999,0.793909
CH,Suisse,binary,nominal,20y,ok,false,2006-06,2026-06,241,6.116081,6.728189,0.612108,8.236856,8.031953,-0.204904,0.722961,0.817614,0.094653,0.471472,0.586357,0.114885,-12.972308,-11.474559,1.497749,-12.972308,-8.471763,4.500545,21,22,1,27.457578,22.178874,-5.278704,-6.197736,-6.545522,-0.347786,0.57763,0.525914,0.439719
CH,Suisse,binary,real,20y,ok,false,2006-06,2026-06,241,5.63097,6.24028,0.60931,8.378179,8.117148,-0.261032,0.707517,0.805334,0.097817,0.414803,0.539141,0.124338,-13.575034,-11.574478,2.000557,-13.575034,-9.105659,4.469376,26,25,-1,27.377025,22.101657,-5.275368,-6.260633,-6.608186,-0.347553,0.574832,0.523115,0.436921
CH,Suisse,binary,nominal,10y,ok,false,2016-06,2026-06,121,7.641455,8.55752,0.916065,7.903664,7.331609,-0.572054,0.986896,1.188846,0.201951,0.589059,1.010123,0.421064,-12.972308,-8.471763,4.500545,-12.972308,-8.471763,4.500545,21,21,0,27.457578,22.178874,-5.278704,-4.766023,-2.534018,2.232005,0.885213,0.838934,0.761804
CH,Suisse,binary,real,10y,ok,false,2016-06,2026-06,121,6.770091,7.67874,0.908649,8.025501,7.400481,-0.62502,0.964046,1.168248,0.204203,0.498716,0.843293,0.344577,-13.575034,-9.105659,4.469376,-13.575034,-9.105659,4.469376,22,22,0,27.377025,22.101657,-5.275368,-5.420088,-3.203413,2.216675,0.877797,0.831519,0.754388
CH,Suisse,binary,nominal,5y,ok,false,2021-06,2026-06,61,8.670772,9.513841,0.843069,8.892081,7.94559,-0.946491,0.925051,1.141349,0.216299,0.668406,1.123006,0.4546,-12.972308,-8.471763,4.500545,-12.972308,-8.471763,4.500545,21,21,0,27.457578,22.178874,-5.278704,-2.372664,2.032274,4.404938,0.80842,0.756446,0.669824
CH,Suisse,binary,real,5y,ok,false,2021-06,2026-06,61,7.187278,8.018838,0.83156,9.018923,8.007365,-1.011558,0.89959,1.117084,0.217493,0.529448,0.880643,0.351195,-13.575034,-9.105659,4.469376,-13.575034,-9.105659,4.469376,22,22,0,27.377025,22.101657,-5.275368,-3.664009,0.526745,4.190754,0.796911,0.744937,0.658315
